index,id,nickname,title,finishYn,ageGrade,restYn,dateCreated,isNew,averageScore,artist,latest_upload,last_chapter,img_url,intro,genres,categories
217,33,1000story,천년동화,Y,0,N,20070326135223,0,9.78202676864245,호랑/호랑,20070917130757,42.0,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/55C08B67041C620004,"할아버지, 할머니에게 들었던 전래동화. 그 이야기를 현대적으로 해석한다면? ",순정,리메이크/동화/전래동화/사랑/옴니버스
218,1146,ace3,에이스 하이,Y,0,N,20141030182203,0,9.78138075313807,유희/이창현,20160616112609,53.0,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/5548B06C0225B70001,4년 만에 돌아온 J.J. 이번에는 출격할 것인가,판타지,병맛/공군/망상/엽기/스토리
219,1335,Supernatural,오늘의 초능력,N,0,N,20161209094542,0,9.7783789199479,WONDER/WONDER,20180901000100,79.0,http://t1.daumcdn.net/cartoon/5849FE6F0226F20001,이딴 초능력 필요 없어! 매일매일 새로운 초능력을 얻는 소녀의 예측불허 코미디가 펼쳐진다!,판타지,초능력/병맛/대학생/우주/스토리
220,1141,wildfire,왈퐈,Y,0,N,20141020104432,0,9.77769732078204,강형규/강형규,20150720000100,40.0,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/5548B3B40268DA0001,그가 죽었다.. 그리고 시작된 시아버지와 며느리의 합작 복수극!,드라마,복수/범죄/폭력/가족/스토리
221,570,afamily,무채색 가족,Y,0,N,20100903092439,0,9.77747483221476,강형규/강형규,20180522000000,22.0,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/55C0418D02508D0001,"무심한듯 시크한 가족코믹극, 가난한 그들의 경제회복기!",코믹,가족/엽기/연예인/가난/스토리
222,1280,theyutnolist,The 윷놀리스트,Y,0,N,20160329170357,0,9.77548076923077,김라무/김라무,20180806000000,115.0,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/5716098D06133D0001,"윷놀이, 올림픽 정식 종목이 되다? 윷판을 지배하는 자만이 윷놀리스트가 될 수 있다! <만화공모대전3> 장려상 수상작",드라마,병맛/운동/배틀/학교생활/스토리
223,1110,guiltofhayoun,하윤의 죄,Y,19,N,20140718171630,0,9.77480490523969,이림/이림,20150815000100,54.0,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/5548BD6C020B590002,,,
224,1258,grass_sound,풀 뜯어먹는 소리,N,0,N,20151211165439,0,9.77412495911024,글피/글피,20180901000100,85.0,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/566A80CF02484A0001,서울 남자와 시골 여자의 몸에 좋고 맛도 좋은 귀촌 라이프,코믹,농촌/백수/부부/결혼생활/스토리
225,1011,anemia,아네미아,A,0,N,20130930175620,0,9.77280779450841,홍작가/홍작가,20131209090408,10.0,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/55493E930408050001,피가 모자란 사람들에 관한 4가지 단편 옴니버스,공포,뱀파이어/능력자/피/살인사건/스토리
226,702,peak,PEAK ,Y,0,N,20110413092257,0,9.77220630372493,임강혁/홍성수,20141126092911,155.0,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/554B03AE0334CD0001,이제껏 본적 없는 웰메이드 산악구조 액션!,드라마,산악구조대/등산/우정/스토리
227,1493,illang,인랑:프리퀄,Y,0,N,20180622135520,0,9.7719298245614,윤태호/윤태호,20180725000000,5.0,http://t1.daumcdn.net/webtoon/op/762786775e767c2695c5b277cadaa509e3eac290,통일을 앞둔 사회의 폭력적인 혼란과 서로 대립하는 권력기관의 욕망,액션,영화/권력/격투/통일/스토리
228,1482,livelife,살맛나는 인생,A,0,N,20180607153411,0,9.77142857142857,한수애/한수애,20180615103531,1.0,http://t1.daumcdn.net/webtoon/op/ae199b4fd0b7a70481831f64179c3a6a3a0e08db,"사이코패스 교주와 증거없는 살인사건들, 과연 진실은 무엇인가?!",드라마,종교/살인사건/진실/스토리
229,1047,trace2,트레이스,N,0,N,20131231094513,0,9.77069641242086,고영훈/고영훈,20180903000100,467.0,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/55666EE80142AB0005,"트레이스, 트러블, 인간.. 그들의 생존을 건 싸움",판타지,초능력/능력자/괴물/스토리
230,1202,verygood,죽어도 좋아♡,Y,0,N,20150406201615,0,9.76978079943735,골드키위새/골드키위새,20160517000100,45.0,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/55470CCB021E830004,이루다 주임의 미중년 상사 백 과장. 이 둘 사이에 생긴 묘한 사건,드라마,짝사랑/썸/연애/직장인/스토리
