id,nickname,title,finishYn,ageGrade,restYn,dateCreated,isNew,averageScore,artist,latest_upload,last_chapter,img_url,intro,genres,categories
23,ori,오리우리,Y,0,N,20060514214131,False,9.464,캐러멜/JJO,20070510132321,86,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/55C069B2012BEA0001,청년백수 솔로 탈출기 '남아돌아'의 히어로 캐러멜 작가의 두번째 작품,코믹,연애/지구정복/꽃미남/동거/옴니버스
4,kangpool,순정만화,Y,0,N,20031024132220,False,9.462671905697446,강풀/강풀,20081129103701,46,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/55C059D10226180002,강풀 작가의 대표작품인 '순정만화'. 2004년 최고의 히트작품,순정,연애/영화화/감성/사랑/스토리
53,mmr,염라공주 모모레,Y,0,N,20080326110624,False,9.462425447316104,주니쿵/주니쿵,20120405174328,350,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/55C1AA1E033B7A0001,인간세계에서 살아가는 염라국 공주 모모레 식솔들의 좌충우돌 이야기!,판타지,저승/모험/격투/스토리
1375,Barbarian,오랑캐,N,0,N,20170707164633,False,9.4619523443505,봉수/봉수,20180902000100,60,http://t1.daumcdn.net/webtoon/op/0ea0079cb05525eb32f78a9005e65bdea5e6a2af,무림 고수를 사칭하는 무림 초짜의 이야기,무협,무림/영웅/무장/성장드라마/스토리
174,wander,헌티드스쿨 원더러즈 에이스,Y,0,N,20100216102912,False,9.458885941644562,계란계란/계란계란,20100608094700,17,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/5624CFAB03704B0001,"평화롭던 우리 학교에 생긴 웃지 못할 사건, 사건의 실마리는 과연 어디에?!",학원,병맛/동아리/고등학생/귀신/스토리
527,misosikga,미소식가,Y,0,N,20100628141744,False,9.458860759493671,장어진/장어진,20101129092916,25,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/554C495A0428D20004,"외딴 레스토랑 미소식가를 배경으로 펼쳐지는, 꿈과 사랑 가득한 사람들의 이야기",드라마,음식/여자들/요리/옴니버스
868,moment,0.1초의 설렘,Y,0,N,20120609083558,False,9.456125108601217,임강혁/임강혁,20130503083713,54,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/55C309580164430002,긴 사랑과 짧은 설렘에 대한 보고서,순정,연애/힐링/설레임/에피소드
1499,beltupdown,벨트 위 벨트 아래,Y,0,N,20180704100725,False,9.455445544554456,마영신/마영신,20180710113837,1,http://t1.daumcdn.net/webtoon/op/5e42f4aaeaba9996ca9bc020b73f8691da01b660,"90년대 후반, 이태원과 한남동에서 잊을 수 없는 가슴 아픈 첫 사랑이 새겨진다.",드라마,남자/1990년대/성별전환/청소년/스토리
534,blackwind,블랙윈드,Y,0,N,20100717095145,False,9.455089820359282,제이군/제이군,20111021132709,44,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/55C0520B0570A10002,인간들이 사냥하던 마녀가 이제 인간 사냥에 나선다!,판타지,마녀/사랑/스토리
1096,histoy,장난감의 사정,Y,0,N,20140531181440,False,9.454430379746835,김도연/김도연,20141012084606,19,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/5547086F0239430001,철없는 장난으로 시작된 삼각관계. 너만 사라지면 돼,순정,연애/삼각관계/기억/동거/스토리
1239,VOE,보에,Y,0,N,20150815125817,False,9.451038575667656,서기진/서이레,20160704000100,46,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/561A2D98026CA10001,유리천장에 머리를 부딪치며 살아온 두 여자가 의기투합한 여성벤처성공기,드라마,직장인/서바이벌/사무실/메이크업/스토리
1229,1punchTeacher,대치동 일타강사,N,0,Y,20150715150826,False,9.447039740470398,송예슬/JP You,20180729000000,142,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/55A5FAA90426440001,"스승으로 모시기에 좀 애매한 그들, 강남 학원가를 주름잡는 일타강사에 도전하다",학원,학원/사기/선생님/스토리
660,ohmylace,오! 마이 레이스,Y,0,N,20110113092052,False,9.446518864255154,배추도사무도사/배추도사무도사,20120607102334,73,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/55C04E7C0209D90001,"전쟁터와 같은 패션계, 레이스를 사랑하는 이 남자를 주목하라!",순정,패션/디자이너/꽃미남/스토리
870,farmvillage,이장본색,Y,0,N,20120615101920,False,9.446183953033268,지뚱/지뚱,20150101000100,84,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/5549E5F90252700002,파워농촌 대왕리에서 펼쳐지는 농력의 향연!!,판타지,배틀/능력자/병맛/농촌/스토리
672,todayandtoday,오늘또오늘,Y,0,N,20110131141158,False,9.44560669456067,희나리/희나리,20110221091642,6,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/55C04B3D054CA30001,불쌍한 청춘들이여! 인생 역전의 그날까지 힘껏 달려라!,드라마,현실반영/돈/빚/추격전/스토리
814,goodbaseball,굿모닝 사회인 야구,Y,0,N,20111228133909,False,9.444444444444445,장이/장이,20120725105546,25,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/554AC69D024BCD0001,기초부터 배우는 사회인 야구교본의 정석!,스포츠,야구/직장생활/직장인/사회인야구/에피소드
25,moan,모니 앤 스토리,Y,0,N,20060702104747,False,9.442622950819672,마이모니/마이모니,20071101083357,140,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/55C083540430820001,미완성 봉제 인형 '모니'와 그의 주인 '앤'이 풀어가는 사랑이야기,일상,힐링/감성/인형/사랑/옴니버스
1093,travelwithdonggu,여행해도 똑같네,Y,0,N,20140519090216,False,9.4425,캐러멜/캐러멜,20140519090436,1,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/5548C0410127C10001,"캐러멜, 네온비 부부 동구와 자동차 여행을 떠나다!",일상,여행/결혼생활/신혼/부부/스토리
104,again,어게인,Y,0,N,20090622154406,False,9.440699935191185,강풀/강풀,20091126083808,33,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/5624B57E023DD20001,2009년 강풀작가의 최신작! 미심썰 시즌4 더 강력한 스릴이 온다!,스릴러,살인사건/저승/능력자/스토리
528,deadman,웨이크 업 데드맨,Y,0,N,20100629155936,False,9.439102564102564,김용환/김용환,20130821090833,86,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/55C056C902166F0001,"시체가 벌이는 순정로드무비, Daum 공모전 최우수상 수상!",판타지,좀비/로드무비/청춘/여행/스토리
1019,covertness2,은밀하게 위대하게2,Y,0,N,20131028093648,False,9.437005190583548,Hun/Hun,20140811143735,48,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/55C31328053C110001,은밀하게 위대하게 두 번째 침투가 시작된다! 은밀하게 위대하게 그리고 유일하게!,액션,간첩/북한/비밀/영화/스토리
610,killmywife,아내를 죽였다,Y,0,N,20101024085120,False,9.436170212765957,희나리/희나리,20101107091534,3,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/554C3CB2044C940004,"잃어버린 어젯밤의 기억, 나는 정말 아내를 죽인걸까?",스릴러,살인사건/추리/가족/아내/스토리
1265,asurabalbalta,아수라발발타,Y,0,N,20160125192427,False,9.435200161746867,현마담/현마담,20180321000000,97,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/56A5F70E0213240001,본의 아니게(?) 신내림을 받은 한 남자의 미스터리 이야기,코믹,무당/사건사고/귀신/연애/스토리
745,likeperson,무늬만 사람,Y,0,N,20110618104322,False,9.434380776340111,김효중/김효중,20111112090601,26,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/554AFDC3053B540002,사람을 닮은 동식물들의 옴니버스 이야기.,드라마,현실반영/동물/사회문제/옴니버스
762,lightingstore,조명가게,Y,0,N,20110801083117,False,9.42830099384761,강풀/강풀,20120319172250,33,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/55C1C576044B210001,강풀 작가의 미스테리심리썰렁물 씨즌5 조명가게,공포,괴담/사후세계/귀신/사연/스토리
555,gone,GONE,Y,0,N,20100813160818,False,9.426791277258568,라라시스터/라라시스터,20101016091957,10,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/55C050510246800001,"내가 죽더라도 너무 슬퍼하지마, 바람결에 너를 다시 찾아갈게",순정,바이러스/가족/사랑/이별/스토리
908,justoneshot,저스트 원 샷,Y,0,N,20121119164032,False,9.423280423280424,김예린/장유라/김예린/장유라,20130820090219,41,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/55C30D31057E8E0001,인생의 한 방! 복권 당첨자의 운명을 건 잔인한 배팅!,미스터리,돈/범죄/욕망/복권/스토리
