unique_id,title,author,total_score,main_link,image_link,update_date,genre,pay,total_like,intro,total_episodes,mean_score,total_comments,mean_like
702672,노곤하개,홍끼,9.98,https://comic.naver.com/webtoon/list.nhn?titleId=702672,https://shared-comic.pstatic.net/thumb/webtoon/702672/thumbnail/thumbnail_IMAG10_4313f60c-b034-49ae-9edc-877c859b64f3.jpg,2018.08.31,episode/daily/comic,0,150711,귀여운 멍멍이들과 함께하는노곤하지 않은 일상 이야기,69,9.98,276913,17491.46
604147,터치! 메리크리스마스,웹툰작가,9.78,https://comic.naver.com/webtoon/list.nhn?titleId=604147,https://shared-comic.pstatic.net/thumb/webtoon/604147/thumbnail/title_thumbnail_20131217181504_t83x90.jpg,2014.01.07,episode/daily/comic/drama/pure/sensibility/thrill,0,3379,"요즘은 뭘 하며 지내고 있을까?  
근황이 궁금했던 작가들이 돌아왔다!
개성 만점 크리스마스 단편선을 스마트툰으로 만나보세요",10,9.75,33117,580.6
400738,부토,정현주,9.92,https://comic.naver.com/webtoon/list.nhn?titleId=400738,https://shared-comic.pstatic.net/thumb/webtoon/400738/thumbnail/title_thumbnail_20111128185258_t83x90.jpg,2012.04.24,episode/daily/comic,0,2764,"'Trump!(트럼프)' 정현주 작가의 웹툰 신작!!
우정, 수련과 결투, 승리, 출생의 비밀... 에 대한 얘기는 아닌 것 같습니다.",43,9.92,85546,382.98
387518,달콤한 인생,이동건,9.95,https://comic.naver.com/webtoon/list.nhn?titleId=387518,https://shared-comic.pstatic.net/thumb/webtoon/387518/thumbnail/title_thumbnail_20120309181013_t83x90.jpg,2013.04.28,episode/daily/comic,0,21938,"커플과 싱글들의 달콤한 이야기
직장인과 백수들의 달콤한 에피소드
...그런데 왜 이렇게 씁쓸한거지?",162,9.95,304242,1750.53
616239,윌유메리미,마인드C,9.94,https://comic.naver.com/webtoon/list.nhn?titleId=616239,https://shared-comic.pstatic.net/thumb/webtoon/616239/thumbnail/title_thumbnail_20161031214436_t83x90.jpg,2018.08.31,episode/daily/comic,0,378260,"외모는 상남자, 마음은 감성소녀 윌.외모는 청순녀, 마음은 터프가이 메리! 
서울 부산 띠동갑 커플의 리얼 연애 일기",454,9.93,672507,8107.95
710081,암흑도시,정뱅,9.94,https://comic.naver.com/webtoon/list.nhn?titleId=710081,https://shared-comic.pstatic.net/thumb/webtoon/710081/thumbnail/thumbnail_IMAG10_da068076-1e25-4174-81db-1abd73769f0f.jpg,2018.08.30,episode,0,46396,암흑도시에서 살아가는우리네 소소한 이야기,20,9.95,22226,6171.5
183558,"스마일 브러시, 오래된 사...",와루,9.94,https://comic.naver.com/webtoon/list.nhn?titleId=183558,https://shared-comic.pstatic.net/thumb/webtoon/183558/thumbnail/title_thumbnail_20100630150811_t83x90.jpg,2011.07.29,episode/daily/sensibility,0,1195,"오래된 사진에서 찾아보는 어린 시절의 이야기.
당신의 앨범에서 잃어버렸던 추억을 찾아보세요.",57,9.94,60299,215.21
671421,언덕 위의 제임스,쿠당탕,9.91,https://comic.naver.com/webtoon/list.nhn?titleId=671421,https://shared-comic.pstatic.net/thumb/webtoon/671421/thumbnail/thumbnail_IMAG10_b0f7d54d-f2f8-4b8e-a521-f8dd96ff65f1.jpg,2018.08.28,episode/comic,0,135352,"제임스들이 펼치는 코믹 막장 에피소드!
지금 전세계의 제임스들이 몰려온다",138,9.92,314939,4881.47
710769,2인용 인간,WONDER,9.93,https://comic.naver.com/webtoon/list.nhn?titleId=710769,https://shared-comic.pstatic.net/thumb/webtoon/710769/thumbnail/thumbnail_IMAG10_dcc06312-0493-4633-9b0a-2f56f6fa3434.jpg,2018.08.31,episode/fantasy,0,99664,"두 사람에게 나눠 팔린 내 인생,낮과 밤 다른 인물로 살아가야 한다.",16,9.94,30833,17275.19
692510,오늘도 형제는 평화롭다,GIMS,9.97,https://comic.naver.com/webtoon/list.nhn?titleId=692510,https://shared-comic.pstatic.net/thumb/webtoon/692510/thumbnail/thumbnail_IMAG10_2d9d1b92-d6bf-432c-9788-273a3e2a5c6c.jpg,2017.08.12,episode/daily/comic,0,293273,"돈독한 형제들의 이야기,
사건의 중심엔 늘 그들이 있다.",51,9.97,159054,25426.33
