unique_id,title,author,total_score,main_link,image_link,update_date,episode,omnibus,story,daily,comic,fantasy,action,drama,pure,sensibility,thrill,historical,sports,pay,episode_cnt,total_comments,episode_score,like_count,intro
703850,자판귀,윤정민,9.96,https://comic.naver.com/webtoon/list.nhn?titleId=703850,https://shared-comic.pstatic.net/thumb/webtoon/703850/thumbnail/thumbnail_IMAG10_d093ab2d-a006-457b-92b5-1da097bc3af1.jpg,2018.09.03,episode,None,None,None,None,None,None,None,None,sensibility,thrill,None,None,0,26,55588,9.964230769230767,181934,자판기에서 내가 원하는 것이 나온다!?<2017 네이버 최강자전> 우수상 수상작
150389,스마일브러시,와루,9.94,https://comic.naver.com/webtoon/list.nhn?titleId=150389,https://shared-comic.pstatic.net/thumb/webtoon/150389/thumbnail/title_thumbnail_20100610110221_t83x90.jpg,2010.06.26,episode,None,None,daily,None,None,None,None,None,sensibility,None,None,None,0,39,54305,9.942564102564102,106414,"반복되는 일상에서 발생하는 사건 사고들.
소심하지만 할 말은 하는 가슴 따스한 와루의 좌충우돌 일상의 반전 에피소드."
654331,썸남,배철완,9.97,https://comic.naver.com/webtoon/list.nhn?titleId=654331,https://shared-comic.pstatic.net/thumb/webtoon/654331/thumbnail/title_thumbnail_20150508221630_t83x90.jpg,2016.09.28,episode,None,None,daily,comic,None,None,None,None,None,None,None,None,0,73,190819,9.968493150684942,1633,"옆방에 사는 어색한 두 남자들에 대한 고찰. 
2014 대학만화 최강자전 수상작!"
675554,가우스전자 시즌3~4,곽백수,9.97,https://comic.naver.com/webtoon/list.nhn?titleId=675554,https://shared-comic.pstatic.net/thumb/webtoon/675554/thumbnail/thumbnail_IMAG10_66613407-1041-4f4f-ad8a-1983361f932e.jpg,2018.09.04,episode,None,None,daily,comic,None,None,None,None,None,None,None,None,0,610,308491,9.973612479474488,162251,다국적 문어발 기업 가우스전자에서 벌어지는웃픈 현실 직장인 이야기
682637,놓지마 정신줄 시즌2,신태훈/나승훈,9.95,https://comic.naver.com/webtoon/list.nhn?titleId=682637,https://shared-comic.pstatic.net/thumb/webtoon/682637/thumbnail/title_thumbnail_20160729190602_t83x90.jpg,2018.09.03,episode,None,None,daily,comic,None,None,None,None,None,None,None,None,0,218,1081016,9.951009174311947,167714,"정신, 정주리 남매와 독특한 주변 인물들의정신줄 놓게 만드는 다양한 에피소드들!
본격 유체이탈 예방 프로젝트 '놓지마 정신줄'을 이제 컷툰으로 만나보세요"
395444,"이현세, 이두호의 지옥캠프...",웹툰작가,9.81,https://comic.naver.com/webtoon/list.nhn?titleId=395444,https://shared-comic.pstatic.net/thumb/webtoon/395444/thumbnail/title_thumbnail_20111014161835_t83x90.jpg,2011.12.18,episode,None,None,None,None,fantasy,None,None,None,None,None,None,None,0,10,16777,9.779,260321,"전설적인 작가 이현세, 이두호가 직접 프로듀싱한 10명의 신인작가 단편선"
22073,까뱅,X-TEAM,8.79,https://comic.naver.com/webtoon/list.nhn?titleId=22073,https://shared-comic.pstatic.net/thumb/webtoon/22073/thumbnail/thumbnail_title_22073_83x90.gif,2007.02.23,episode,None,None,None,comic,None,None,None,None,None,None,None,None,0,32,19957,8.795625000000003,2685,"치킨시티의 새로운 영웅 '까뱅'
오늘도 그의 활약은 계속된다!"
711422,삼국지톡,무적핑크/이리,9.96,https://comic.naver.com/webtoon/list.nhn?titleId=711422,https://shared-comic.pstatic.net/thumb/webtoon/711422/thumbnail/thumbnail_IMAG10_c2333dc0-c699-41e4-8507-6b4bcd16b903.jpg,2018.09.03,episode,None,None,None,comic,None,None,None,None,None,None,historical,None,0,33,136428,9.965757575757577,62287,"""유비, 조조, 손권 등 영웅들이 활약하던 후한, 그 난세에 핸드폰이 있었다면?메신저로 소통하고, 개인 방송으로 군사를 모집한다! 이제껏 보지 못한 완전히 새로운 삼국지!"""
24777,구석구석캠페인,네이버웹툰작가,9.23,https://comic.naver.com/webtoon/list.nhn?titleId=24777,https://shared-comic.pstatic.net/thumb/webtoon/24777/thumbnail/thumbnail_title_24777_83x90.gif,2008.03.06,episode,None,None,daily,None,None,None,None,None,None,None,None,None,0,24,29590,9.265833333333333,103979,"“여기가 정말 대한민국?”
주말에 여행할 곳을 찾고 있다면~ 네이버 웹툰 작가들과 함께 대한민국의 구석구석으로 신나는 여행을 떠나보자!"
675556,2016 학교 다녀오겠습니다,웹툰작가,9.41,https://comic.naver.com/webtoon/list.nhn?titleId=675556,https://shared-comic.pstatic.net/thumb/webtoon/675556/thumbnail/title_thumbnail_20160307225408_t83x90.jpg,2016.05.03,episode,None,None,daily,comic,None,None,None,None,None,None,None,None,0,17,216859,9.411176470588238,36,"신학기가 외롭고 힘든 당신을 위해 준비했다
웹툰작가들의 개그 단편선"
